temperature	xi	ar_xviii	wavelength	opacity
0.5	-2.0	ar_xviii	3.7311	0.0	
0.5	-1.95983934402	ar_xviii	3.7311	0.0	
0.5	-1.91967868805	ar_xviii	3.7311	0.0	
0.5	-1.87951803207	ar_xviii	3.7311	0.0	
0.5	-1.8393573761	ar_xviii	3.7311	0.0	
0.5	-1.79919683933	ar_xviii	3.7311	0.0	
0.5	-1.75903618336	ar_xviii	3.7311	0.0	
0.5	-1.71887552738	ar_xviii	3.7311	0.0	
0.5	-1.67871487141	ar_xviii	3.7311	0.0	
0.5	-1.63855421543	ar_xviii	3.7311	0.0	
0.5	-1.59839355946	ar_xviii	3.7311	0.0	
0.5	-1.55823290348	ar_xviii	3.7311	0.0	
0.5	-1.51807224751	ar_xviii	3.7311	0.0	
0.5	-1.47791159153	ar_xviii	3.7311	0.0	
0.5	-1.43775105476	ar_xviii	3.7311	0.0	
0.5	-1.39759039879	ar_xviii	3.7311	0.0	
0.5	-1.35742974281	ar_xviii	3.7311	0.0	
0.5	-1.31726908684	ar_xviii	3.7311	0.0	
0.5	-1.27710843086	ar_xviii	3.7311	0.0	
0.5	-1.23694777489	ar_xviii	3.7311	0.0	
0.5	-1.19678711891	ar_xviii	3.7311	0.0	
0.5	-1.15662646294	ar_xviii	3.7311	0.0	
0.5	-1.11646580696	ar_xviii	3.7311	0.0	
0.5	-1.0763052702	ar_xviii	3.7311	0.0	
0.5	-1.03614461422	ar_xviii	3.7311	0.0	
0.5	-0.995983958244	ar_xviii	3.7311	0.0	
0.5	-0.955823302269	ar_xviii	3.7311	0.0	
0.5	-0.915662646294	ar_xviii	3.7311	0.0	
0.5	-0.875501990318	ar_xviii	3.7311	0.0	
0.5	-0.835341393948	ar_xviii	3.7311	0.0	
0.5	-0.795180737972	ar_xviii	3.7311	0.0	
0.5	-0.755020081997	ar_xviii	3.7311	0.0	
0.5	-0.714859426022	ar_xviii	3.7311	0.0	
0.5	-0.674698770046	ar_xviii	3.7311	0.0	
0.5	-0.634538173676	ar_xviii	3.7311	0.0	
0.5	-0.5943775177	ar_xviii	3.7311	0.0	
0.5	-0.554216861725	ar_xviii	3.7311	0.0	
0.5	-0.51405620575	ar_xviii	3.7311	0.0	
0.5	-0.473895579576	ar_xviii	3.7311	0.0	
0.5	-0.433734953403	ar_xviii	3.7311	0.0	
0.5	-0.393574297428	ar_xviii	3.7311	0.0	
0.5	-0.353413641453	ar_xviii	3.7311	0.0	
0.5	-0.31325301528	ar_xviii	3.7311	0.0	
0.5	-0.273092359304	ar_xviii	3.7311	0.0	
0.5	-0.232931733131	ar_xviii	3.7311	0.0	
0.5	-0.192771077156	ar_xviii	3.7311	0.0	
0.5	-0.152610436082	ar_xviii	3.7311	0.0	
0.5	-0.112449802458	ar_xviii	3.7311	0.0	
0.5	-0.0722891539335	ar_xviii	3.7311	0.0	
0.5	-0.0321285128593	ar_xviii	3.7311	0.0	
0.5	0.00803212821484	ar_xviii	3.7311	0.0	
0.5	0.048192769289	ar_xviii	3.7311	0.0	
0.5	0.0883534103632	ar_xviii	3.7311	0.0	
0.5	0.128514051437	ar_xviii	3.7311	0.0	
0.5	0.168674692512	ar_xviii	3.7311	0.0	
0.5	0.208835348487	ar_xviii	3.7311	0.0	
0.5	0.248995989561	ar_xviii	3.7311	0.0	
0.5	0.289156615734	ar_xviii	3.7311	0.0	
0.5	0.329317271709	ar_xviii	3.7311	0.0	
0.5	0.369477897882	ar_xviii	3.7311	0.0	
0.5	0.409638553858	ar_xviii	3.7311	0.0	
0.5	0.449799209833	ar_xviii	3.7311	0.0	
0.5	0.489959836006	ar_xviii	3.7311	0.0	
0.5	0.530120491982	ar_xviii	3.7311	0.0	
0.5	0.570281147957	ar_xviii	3.7311	0.0	
0.5	0.610441744328	ar_xviii	3.7311	0.0	
0.5	0.650602400303	ar_xviii	3.7311	0.0	
0.5	0.690763056278	ar_xviii	3.7311	0.0	
0.5	0.730923712254	ar_xviii	3.7311	0.0	
0.5	0.771084308624	ar_xviii	3.7311	0.0	
0.5	0.8112449646	ar_xviii	3.7311	0.0	
0.5	0.851405620575	ar_xviii	3.7311	0.0	
0.5	0.89156627655	ar_xviii	3.7311	0.0	
0.5	0.931726932526	ar_xviii	3.7311	0.0	
0.5	0.971887528896	ar_xviii	3.7311	0.0	
0.5	1.01204824448	ar_xviii	3.7311	0.0	
0.5	1.05220878124	ar_xviii	3.7311	0.0	
0.5	1.09236943722	ar_xviii	3.7311	0.0	
0.5	1.13253009319	ar_xviii	3.7311	0.0	
0.5	1.17269074917	ar_xviii	3.7311	0.0	
0.5	1.21285140514	ar_xviii	3.7311	0.0	
