temperature	xi	fe_xxv	wavelength	opacity
0.5	-2.0	fe_xxv	1.8505	0.0	
0.5	-1.95983934402	fe_xxv	1.8505	0.0	
0.5	-1.91967868805	fe_xxv	1.8505	0.0	
0.5	-1.87951803207	fe_xxv	1.8505	0.0	
0.5	-1.8393573761	fe_xxv	1.8505	0.0	
0.5	-1.79919683933	fe_xxv	1.8505	0.0	
0.5	-1.75903618336	fe_xxv	1.8505	0.0	
0.5	-1.71887552738	fe_xxv	1.8505	0.0	
0.5	-1.67871487141	fe_xxv	1.8505	0.0	
0.5	-1.63855421543	fe_xxv	1.8505	0.0	
0.5	-1.59839355946	fe_xxv	1.8505	0.0	
0.5	-1.55823290348	fe_xxv	1.8505	0.0	
0.5	-1.51807224751	fe_xxv	1.8505	0.0	
0.5	-1.47791159153	fe_xxv	1.8505	0.0	
0.5	-1.43775105476	fe_xxv	1.8505	0.0	
0.5	-1.39759039879	fe_xxv	1.8505	0.0	
0.5	-1.35742974281	fe_xxv	1.8505	0.0	
0.5	-1.31726908684	fe_xxv	1.8505	0.0	
0.5	-1.27710843086	fe_xxv	1.8505	0.0	
0.5	-1.23694777489	fe_xxv	1.8505	0.0	
0.5	-1.19678711891	fe_xxv	1.8505	0.0	
0.5	-1.15662646294	fe_xxv	1.8505	0.0	
0.5	-1.11646580696	fe_xxv	1.8505	0.0	
0.5	-1.0763052702	fe_xxv	1.8505	0.0	
0.5	-1.03614461422	fe_xxv	1.8505	0.0	
0.5	-0.995983958244	fe_xxv	1.8505	0.0	
0.5	-0.955823302269	fe_xxv	1.8505	0.0	
0.5	-0.915662646294	fe_xxv	1.8505	0.0	
0.5	-0.875501990318	fe_xxv	1.8505	0.0	
0.5	-0.835341393948	fe_xxv	1.8505	0.0	
0.5	-0.795180737972	fe_xxv	1.8505	0.0	
0.5	-0.755020081997	fe_xxv	1.8505	0.0	
0.5	-0.714859426022	fe_xxv	1.8505	0.0	
0.5	-0.674698770046	fe_xxv	1.8505	0.0	
0.5	-0.634538173676	fe_xxv	1.8505	0.0	
0.5	-0.5943775177	fe_xxv	1.8505	0.0	
0.5	-0.554216861725	fe_xxv	1.8505	0.0	
0.5	-0.51405620575	fe_xxv	1.8505	0.0	
0.5	-0.473895579576	fe_xxv	1.8505	0.0	
0.5	-0.433734953403	fe_xxv	1.8505	0.0	
0.5	-0.393574297428	fe_xxv	1.8505	0.0	
0.5	-0.353413641453	fe_xxv	1.8505	0.0	
0.5	-0.31325301528	fe_xxv	1.8505	0.0	
0.5	-0.273092359304	fe_xxv	1.8505	0.0	
0.5	-0.232931733131	fe_xxv	1.8505	0.0	
0.5	-0.192771077156	fe_xxv	1.8505	0.0	
0.5	-0.152610436082	fe_xxv	1.8505	0.0	
0.5	-0.112449802458	fe_xxv	1.8505	0.0	
0.5	-0.0722891539335	fe_xxv	1.8505	0.0	
0.5	-0.0321285128593	fe_xxv	1.8505	0.0	
0.5	0.00803212821484	fe_xxv	1.8505	0.0	
0.5	0.048192769289	fe_xxv	1.8505	0.0	
0.5	0.0883534103632	fe_xxv	1.8505	0.0	
0.5	0.128514051437	fe_xxv	1.8505	0.0	
0.5	0.168674692512	fe_xxv	1.8505	0.0	
0.5	0.208835348487	fe_xxv	1.8505	0.0	
0.5	0.248995989561	fe_xxv	1.8505	0.0	
0.5	0.289156615734	fe_xxv	1.8505	0.0	
0.5	0.329317271709	fe_xxv	1.8505	0.0	
0.5	0.369477897882	fe_xxv	1.8505	0.0	
0.5	0.409638553858	fe_xxv	1.8505	0.0	
0.5	0.449799209833	fe_xxv	1.8505	0.0	
0.5	0.489959836006	fe_xxv	1.8505	0.0	
0.5	0.530120491982	fe_xxv	1.8505	0.0	
0.5	0.570281147957	fe_xxv	1.8505	0.0	
0.5	0.610441744328	fe_xxv	1.8505	0.0	
0.5	0.650602400303	fe_xxv	1.8505	0.0	
0.5	0.690763056278	fe_xxv	1.8505	0.0	
0.5	0.730923712254	fe_xxv	1.8505	0.0	
0.5	0.771084308624	fe_xxv	1.8505	0.0	
0.5	0.8112449646	fe_xxv	1.8505	0.0	
0.5	0.851405620575	fe_xxv	1.8505	0.0	
0.5	0.89156627655	fe_xxv	1.8505	0.0	
0.5	0.931726932526	fe_xxv	1.8505	0.0	
0.5	0.971887528896	fe_xxv	1.8505	0.0	
0.5	1.01204824448	fe_xxv	1.8505	0.0	
0.5	1.05220878124	fe_xxv	1.8505	0.0	
0.5	1.09236943722	fe_xxv	1.8505	0.0	
0.5	1.13253009319	fe_xxv	1.8505	0.0	
0.5	1.17269074917	fe_xxv	1.8505	0.0	
0.5	1.21285140514	fe_xxv	1.8505	0.0	
0.5	1.25301206112	fe_xxv	1.8505	0.0	
0.5	1.29317271709	fe_xxv	1.8505	0.0	
0.5	1.33333337307	fe_xxv	1.8505	0.0	
0.5	1.37349402905	fe_xxv	1.8505	0.0	
0.5	1.41365456581	fe_xxv	1.8505	0.0	
0.5	1.45381522179	fe_xxv	1.8505	0.0	
0.5	1.49397587776	fe_xxv	1.8505	0.0	
0.5	1.53413653374	fe_xxv	1.8505	0.0	
0.5	1.57429718971	fe_xxv	1.8505	0.0	
0.5	1.61445784569	fe_xxv	1.8505	0.0	
0.5	1.65461850166	fe_xxv	1.8505	0.0	
0.5	1.69477915764	fe_xxv	1.8505	0.0	
0.5	1.73493981361	fe_xxv	1.8505	0.0	
0.5	1.77510035038	fe_xxv	1.8505	0.0	
0.5	1.81526100636	fe_xxv	1.8505	0.0	
0.5	1.85542166233	fe_xxv	1.8505	0.0	
0.5	1.89558231831	fe_xxv	1.8505	0.0	
0.5	1.93574297428	fe_xxv	1.8505	0.0	
0.5	1.97590363026	fe_xxv	1.8505	0.0	
0.5	2.01606416702	fe_xxv	1.8505	0.0	
0.5	2.056224823	fe_xxv	1.8505	0.0	
0.5	2.09638547897	fe_xxv	1.8505	0.0	
0.5	2.13654613495	fe_xxv	1.8505	0.0	
0.5	2.17670679092	fe_xxv	1.8505	0.0	
0.5	2.2168674469	fe_xxv	1.8505	0.0	
0.5	2.25702810287	fe_xxv	1.8505	0.0	
0.5	2.29718875885	fe_xxv	1.8505	0.0	
0.5	2.33734941483	fe_xxv	1.8505	0.0	
0.5	2.3775100708	fe_xxv	1.8505	0.0	
0.5	2.41767072678	fe_xxv	1.8505	0.0	
0.5	2.45783138275	fe_xxv	1.8505	0.0	
0.5	2.49799203873	fe_xxv	1.8505	0.0	
0.5	2.5381526947	fe_xxv	1.8505	0.0	
0.5	2.57831335068	fe_xxv	1.8505	0.0	
0.5	2.61847400665	fe_xxv	1.8505	0.0	
0.5	2.65863442421	fe_xxv	1.8505	0.0	
0.5	2.69879508018	fe_xxv	1.8505	0.0	
0.5	2.73895573616	fe_xxv	1.8505	0.0	
0.5	2.77911639214	fe_xxv	1.8505	0.0	
0.5	2.81927704811	fe_xxv	1.8505	0.0	
0.5	2.85943770409	fe_xxv	1.8505	0.0	
0.5	2.89959836006	fe_xxv	1.8505	0.0	
0.5	2.93975901604	fe_xxv	1.8505	0.0	
0.5	2.97991967201	fe_xxv	1.8505	0.0	
0.5	3.02008032799	fe_xxv	1.8505	0.0	
0.5	3.06024098396	fe_xxv	1.8505	0.0	
0.5	3.10040163994	fe_xxv	1.8505	0.0	
0.5	3.14056229591	fe_xxv	1.8505	0.0	
0.5	3.18072295189	fe_xxv	1.8505	0.0	
0.5	3.22088360786	fe_xxv	1.8505	0.0	
0.5	3.26104426384	fe_xxv	1.8505	0.0	
0.5	3.30120491982	fe_xxv	1.8505	0.0	
0.5	3.34136557579	fe_xxv	1.8505	3.74544e-18	
0.5	3.38152599335	fe_xxv	1.8505	6.51817e-18	
0.5	3.42168664932	fe_xxv	1.8505	1.12978e-17	
0.5	3.4618473053	fe_xxv	1.8505	1.95016e-17	
0.5	3.50200796127	fe_xxv	1.8505	3.35215e-17	
0.5	3.54216861725	fe_xxv	1.8505	5.73736e-17	
0.5	3.58232927322	fe_xxv	1.8505	9.77662e-17	
0.5	3.6224899292	fe_xxv	1.8505	1.65844e-16	
0.5	3.66265058517	fe_xxv	1.8505	2.79998e-16	
0.5	3.70281124115	fe_xxv	1.8505	4.70453e-16	
0.5	3.74297189713	fe_xxv	1.8505	7.86468e-16	
0.5	3.7831325531	fe_xxv	1.8505	1.30782e-15	
0.5	3.82329320908	fe_xxv	1.8505	2.16264e-15	
0.5	3.86345386505	fe_xxv	1.8505	3.55529e-15	
0.5	3.90361452103	fe_xxv	1.8505	5.80802e-15	
0.5	3.943775177	fe_xxv	1.8505	9.42365e-15	
