temperature	xi	mg_ii	wavelength	opacity
0.5	-2.0	mg_ii	2798.75	1.39191e-20	
0.5	-1.95983934402	mg_ii	2798.75	1.31095e-20	
0.5	-1.91967868805	mg_ii	2798.75	1.23117e-20	
0.5	-1.87951803207	mg_ii	2798.75	1.15308e-20	
0.5	-1.8393573761	mg_ii	2798.75	1.0771e-20	
0.5	-1.79919683933	mg_ii	2798.75	1.00357e-20	
0.5	-1.75903618336	mg_ii	2798.75	9.3272e-21	
0.5	-1.71887552738	mg_ii	2798.75	8.64749e-21	
0.5	-1.67871487141	mg_ii	2798.75	7.99771e-21	
0.5	-1.63855421543	mg_ii	2798.75	7.37851e-21	
0.5	-1.59839355946	mg_ii	2798.75	6.79008e-21	
0.5	-1.55823290348	mg_ii	2798.75	6.23221e-21	
0.5	-1.51807224751	mg_ii	2798.75	5.70441e-21	
0.5	-1.47791159153	mg_ii	2798.75	5.20593e-21	
0.5	-1.43775105476	mg_ii	2798.75	4.73588e-21	
0.5	-1.39759039879	mg_ii	2798.75	4.29329e-21	
0.5	-1.35742974281	mg_ii	2798.75	3.87713e-21	
0.5	-1.31726908684	mg_ii	2798.75	3.48642e-21	
0.5	-1.27710843086	mg_ii	2798.75	3.12022e-21	
0.5	-1.23694777489	mg_ii	2798.75	2.77772e-21	
0.5	-1.19678711891	mg_ii	2798.75	2.45825e-21	
0.5	-1.15662646294	mg_ii	2798.75	2.16127e-21	
0.5	-1.11646580696	mg_ii	2798.75	1.8864e-21	
0.5	-1.0763052702	mg_ii	2798.75	1.6334e-21	
0.5	-1.03614461422	mg_ii	2798.75	1.40209e-21	
0.5	-0.995983958244	mg_ii	2798.75	1.19232e-21	
0.5	-0.955823302269	mg_ii	2798.75	1.00386e-21	
0.5	-0.915662646294	mg_ii	2798.75	8.36379e-22	
0.5	-0.875501990318	mg_ii	2798.75	6.89302e-22	
0.5	-0.835341393948	mg_ii	2798.75	5.6181e-22	
0.5	-0.795180737972	mg_ii	2798.75	4.52802e-22	
0.5	-0.755020081997	mg_ii	2798.75	3.6091e-22	
0.5	-0.714859426022	mg_ii	2798.75	2.84553e-22	
0.5	-0.674698770046	mg_ii	2798.75	2.22002e-22	
0.5	-0.634538173676	mg_ii	2798.75	1.71468e-22	
0.5	-0.5943775177	mg_ii	2798.75	1.31184e-22	
0.5	-0.554216861725	mg_ii	2798.75	9.94741e-23	
0.5	-0.51405620575	mg_ii	2798.75	7.48056e-23	
0.5	-0.473895579576	mg_ii	2798.75	5.58238e-23	
0.5	-0.433734953403	mg_ii	2798.75	4.13637e-23	
0.5	-0.393574297428	mg_ii	2798.75	3.04488e-23	
0.5	-0.353413641453	mg_ii	2798.75	2.22785e-23	
0.5	-0.31325301528	mg_ii	2798.75	1.6209e-23	
0.5	-0.273092359304	mg_ii	2798.75	1.17312e-23	
0.5	-0.232931733131	mg_ii	2798.75	8.44862e-24	
0.5	-0.192771077156	mg_ii	2798.75	6.05607e-24	
0.5	-0.152610436082	mg_ii	2798.75	4.32161e-24	
0.5	-0.112449802458	mg_ii	2798.75	3.0705e-24	
0.5	-0.0722891539335	mg_ii	2798.75	2.17233e-24	
0.5	-0.0321285128593	mg_ii	2798.75	1.53047e-24	
0.5	0.00803212821484	mg_ii	2798.75	1.07375e-24	
0.5	0.048192769289	mg_ii	2798.75	7.50175e-25	
0.5	0.0883534103632	mg_ii	2798.75	5.21898e-25	
0.5	0.128514051437	mg_ii	2798.75	3.61535e-25	
0.5	0.168674692512	mg_ii	2798.75	2.49361e-25	
0.5	0.208835348487	mg_ii	2798.75	1.71235e-25	
0.5	0.248995989561	mg_ii	2798.75	1.1706e-25	
0.5	0.289156615734	mg_ii	2798.75	7.96626e-26	
0.5	0.329317271709	mg_ii	2798.75	5.39634e-26	
0.5	0.369477897882	mg_ii	2798.75	3.63852e-26	
0.5	0.409638553858	mg_ii	2798.75	2.44181e-26	
0.5	0.449799209833	mg_ii	2798.75	1.63099e-26	
0.5	0.489959836006	mg_ii	2798.75	1.08427e-26	
0.5	0.530120491982	mg_ii	2798.75	7.17402e-27	
0.5	0.570281147957	mg_ii	2798.75	4.72424e-27	
0.5	0.610441744328	mg_ii	2798.75	3.09634e-27	
0.5	0.650602400303	mg_ii	2798.75	2.01984e-27	
