temperature	xi	ne_viii	wavelength	opacity
0.5	-2.0	ne_viii	780.324	0.0	
0.5	-1.95983934402	ne_viii	780.324	0.0	
0.5	-1.91967868805	ne_viii	780.324	0.0	
0.5	-1.87951803207	ne_viii	780.324	0.0	
0.5	-1.8393573761	ne_viii	780.324	0.0	
0.5	-1.79919683933	ne_viii	780.324	0.0	
0.5	-1.75903618336	ne_viii	780.324	0.0	
0.5	-1.71887552738	ne_viii	780.324	0.0	
0.5	-1.67871487141	ne_viii	780.324	0.0	
0.5	-1.63855421543	ne_viii	780.324	0.0	
0.5	-1.59839355946	ne_viii	780.324	0.0	
0.5	-1.55823290348	ne_viii	780.324	0.0	
0.5	-1.51807224751	ne_viii	780.324	0.0	
0.5	-1.47791159153	ne_viii	780.324	0.0	
0.5	-1.43775105476	ne_viii	780.324	0.0	
0.5	-1.39759039879	ne_viii	780.324	0.0	
0.5	-1.35742974281	ne_viii	780.324	0.0	
0.5	-1.31726908684	ne_viii	780.324	0.0	
0.5	-1.27710843086	ne_viii	780.324	0.0	
0.5	-1.23694777489	ne_viii	780.324	0.0	
0.5	-1.19678711891	ne_viii	780.324	0.0	
0.5	-1.15662646294	ne_viii	780.324	0.0	
0.5	-1.11646580696	ne_viii	780.324	0.0	
0.5	-1.0763052702	ne_viii	780.324	0.0	
0.5	-1.03614461422	ne_viii	780.324	0.0	
0.5	-0.995983958244	ne_viii	780.324	0.0	
0.5	-0.955823302269	ne_viii	780.324	0.0	
0.5	-0.915662646294	ne_viii	780.324	0.0	
0.5	-0.875501990318	ne_viii	780.324	0.0	
0.5	-0.835341393948	ne_viii	780.324	0.0	
0.5	-0.795180737972	ne_viii	780.324	0.0	
0.5	-0.755020081997	ne_viii	780.324	0.0	
0.5	-0.714859426022	ne_viii	780.324	0.0	
0.5	-0.674698770046	ne_viii	780.324	0.0	
0.5	-0.634538173676	ne_viii	780.324	1.67766e-14	
0.5	-0.5943775177	ne_viii	780.324	2.19939e-14	
0.5	-0.554216861725	ne_viii	780.324	2.8567e-14	
0.5	-0.51405620575	ne_viii	780.324	3.67895e-14	
0.5	-0.473895579576	ne_viii	780.324	4.70108e-14	
0.5	-0.433734953403	ne_viii	780.324	5.96484e-14	
0.5	-0.393574297428	ne_viii	780.324	7.52006e-14	
0.5	-0.353413641453	ne_viii	780.324	9.42626e-14	
0.5	-0.31325301528	ne_viii	780.324	1.17545e-13	
0.5	-0.273092359304	ne_viii	780.324	1.45897e-13	
0.5	-0.232931733131	ne_viii	780.324	1.80331e-13	
0.5	-0.192771077156	ne_viii	780.324	2.22053e-13	
0.5	-0.152610436082	ne_viii	780.324	2.72502e-13	
0.5	-0.112449802458	ne_viii	780.324	3.33388e-13	
0.5	-0.0722891539335	ne_viii	780.324	4.06743e-13	
0.5	-0.0321285128593	ne_viii	780.324	4.94987e-13	
0.5	0.00803212821484	ne_viii	780.324	6.00985e-13	
0.5	0.048192769289	ne_viii	780.324	7.28134e-13	
0.5	0.0883534103632	ne_viii	780.324	8.80458e-13	
0.5	0.128514051437	ne_viii	780.324	1.06271e-12	
0.5	0.168674692512	ne_viii	780.324	1.28052e-12	
0.5	0.208835348487	ne_viii	780.324	1.54052e-12	
0.5	0.248995989561	ne_viii	780.324	1.85052e-12	
0.5	0.289156615734	ne_viii	780.324	2.21972e-12	
0.5	0.329317271709	ne_viii	780.324	2.65892e-12	
0.5	0.369477897882	ne_viii	780.324	3.1808e-12	
0.5	0.409638553858	ne_viii	780.324	3.80018e-12	
0.5	0.449799209833	ne_viii	780.324	4.53441e-12	
0.5	0.489959836006	ne_viii	780.324	5.40363e-12	
0.5	0.530120491982	ne_viii	780.324	6.43126e-12	
0.5	0.570281147957	ne_viii	780.324	7.64435e-12	
0.5	0.610441744328	ne_viii	780.324	9.07415e-12	
0.5	0.650602400303	ne_viii	780.324	1.07564e-11	
0.5	0.690763056278	ne_viii	780.324	1.27317e-11	
0.5	0.730923712254	ne_viii	780.324	1.5046e-11	
0.5	0.771084308624	ne_viii	780.324	1.77507e-11	
0.5	0.8112449646	ne_viii	780.324	2.09028e-11	
0.5	0.851405620575	ne_viii	780.324	2.45645e-11	
0.5	0.89156627655	ne_viii	780.324	2.88025e-11	
0.5	0.931726932526	ne_viii	780.324	3.36868e-11	
0.5	0.971887528896	ne_viii	780.324	3.92887e-11	
0.5	1.01204824448	ne_viii	780.324	4.56783e-11	
0.5	1.05220878124	ne_viii	780.324	5.29199e-11	
0.5	1.09236943722	ne_viii	780.324	6.10677e-11	
0.5	1.13253009319	ne_viii	780.324	7.01591e-11	
0.5	1.17269074917	ne_viii	780.324	8.02075e-11	
0.5	1.21285140514	ne_viii	780.324	9.11942e-11	
0.5	1.25301206112	ne_viii	780.324	1.0306e-10	
0.5	1.29317271709	ne_viii	780.324	1.157e-10	
0.5	1.33333337307	ne_viii	780.324	1.28952e-10	
0.5	1.37349402905	ne_viii	780.324	1.42603e-10	
0.5	1.41365456581	ne_viii	780.324	1.56384e-10	
0.5	1.45381522179	ne_viii	780.324	1.69983e-10	
0.5	1.49397587776	ne_viii	780.324	1.83057e-10	
0.5	1.53413653374	ne_viii	780.324	1.95248e-10	
0.5	1.57429718971	ne_viii	780.324	2.0621e-10	
0.5	1.61445784569	ne_viii	780.324	2.15627e-10	
0.5	1.65461850166	ne_viii	780.324	2.23239e-10	
0.5	1.69477915764	ne_viii	780.324	2.28851e-10	
0.5	1.73493981361	ne_viii	780.324	2.32352e-10	
0.5	1.77510035038	ne_viii	780.324	2.33707e-10	
0.5	1.81526100636	ne_viii	780.324	2.32962e-10	
0.5	1.85542166233	ne_viii	780.324	2.30229e-10	
0.5	1.89558231831	ne_viii	780.324	2.25672e-10	
0.5	1.93574297428	ne_viii	780.324	2.19495e-10	
