temperature	xi	s_iv	wavelength	opacity
0.5	-2.0	s_iv	1062.66	5.98707e-11	
0.5	-1.95983934402	s_iv	1062.66	6.35622e-11	
0.5	-1.91967868805	s_iv	1062.66	6.72381e-11	
0.5	-1.87951803207	s_iv	1062.66	7.08773e-11	
0.5	-1.8393573761	s_iv	1062.66	7.44567e-11	
0.5	-1.79919683933	s_iv	1062.66	7.79543e-11	
0.5	-1.75903618336	s_iv	1062.66	8.13482e-11	
0.5	-1.71887552738	s_iv	1062.66	8.46173e-11	
0.5	-1.67871487141	s_iv	1062.66	8.77406e-11	
0.5	-1.63855421543	s_iv	1062.66	9.06975e-11	
0.5	-1.59839355946	s_iv	1062.66	9.34675e-11	
0.5	-1.55823290348	s_iv	1062.66	9.60303e-11	
0.5	-1.51807224751	s_iv	1062.66	9.83649e-11	
0.5	-1.47791159153	s_iv	1062.66	1.0045e-10	
0.5	-1.43775105476	s_iv	1062.66	1.02265e-10	
0.5	-1.39759039879	s_iv	1062.66	1.03786e-10	
0.5	-1.35742974281	s_iv	1062.66	1.0499e-10	
0.5	-1.31726908684	s_iv	1062.66	1.05854e-10	
0.5	-1.27710843086	s_iv	1062.66	1.06353e-10	
0.5	-1.23694777489	s_iv	1062.66	1.06462e-10	
0.5	-1.19678711891	s_iv	1062.66	1.06159e-10	
0.5	-1.15662646294	s_iv	1062.66	1.05419e-10	
0.5	-1.11646580696	s_iv	1062.66	1.04225e-10	
0.5	-1.0763052702	s_iv	1062.66	1.0256e-10	
0.5	-1.03614461422	s_iv	1062.66	1.00415e-10	
0.5	-0.995983958244	s_iv	1062.66	9.77861e-11	
0.5	-0.955823302269	s_iv	1062.66	9.46782e-11	
0.5	-0.915662646294	s_iv	1062.66	9.11068e-11	
0.5	-0.875501990318	s_iv	1062.66	8.70971e-11	
0.5	-0.835341393948	s_iv	1062.66	8.26854e-11	
0.5	-0.795180737972	s_iv	1062.66	7.79213e-11	
0.5	-0.755020081997	s_iv	1062.66	7.28625e-11	
0.5	-0.714859426022	s_iv	1062.66	6.75771e-11	
0.5	-0.674698770046	s_iv	1062.66	6.21406e-11	
0.5	-0.634538173676	s_iv	1062.66	5.66333e-11	
0.5	-0.5943775177	s_iv	1062.66	5.11379e-11	
0.5	-0.554216861725	s_iv	1062.66	4.5736e-11	
0.5	-0.51405620575	s_iv	1062.66	4.05049e-11	
0.5	-0.473895579576	s_iv	1062.66	3.55145e-11	
0.5	-0.433734953403	s_iv	1062.66	3.08246e-11	
0.5	-0.393574297428	s_iv	1062.66	2.64823e-11	
0.5	-0.353413641453	s_iv	1062.66	2.25213e-11	
0.5	-0.31325301528	s_iv	1062.66	1.89607e-11	
0.5	-0.273092359304	s_iv	1062.66	1.58059e-11	
0.5	-0.232931733131	s_iv	1062.66	1.30497e-11	
0.5	-0.192771077156	s_iv	1062.66	1.06743e-11	
0.5	-0.152610436082	s_iv	1062.66	8.65362e-12	
0.5	-0.112449802458	s_iv	1062.66	6.95592e-12	
0.5	-0.0722891539335	s_iv	1062.66	5.54624e-12	
0.5	-0.0321285128593	s_iv	1062.66	4.38857e-12	
0.5	0.00803212821484	s_iv	1062.66	3.44763e-12	
0.5	0.048192769289	s_iv	1062.66	2.69015e-12	
0.5	0.0883534103632	s_iv	1062.66	2.08578e-12	
0.5	0.128514051437	s_iv	1062.66	1.60752e-12	
0.5	0.168674692512	s_iv	1062.66	1.23195e-12	
0.5	0.208835348487	s_iv	1062.66	9.39108e-13	
0.5	0.248995989561	s_iv	1062.66	7.12263e-13	
0.5	0.289156615734	s_iv	1062.66	5.37619e-13	
0.5	0.329317271709	s_iv	1062.66	4.03934e-13	
0.5	0.369477897882	s_iv	1062.66	3.02152e-13	
