temperature	xi	s_xvi	wavelength	opacity
0.5	-2.0	s_xvi	3.9908	0.0	
0.5	-1.95983934402	s_xvi	3.9908	0.0	
0.5	-1.91967868805	s_xvi	3.9908	0.0	
0.5	-1.87951803207	s_xvi	3.9908	0.0	
0.5	-1.8393573761	s_xvi	3.9908	0.0	
0.5	-1.79919683933	s_xvi	3.9908	0.0	
0.5	-1.75903618336	s_xvi	3.9908	0.0	
0.5	-1.71887552738	s_xvi	3.9908	0.0	
0.5	-1.67871487141	s_xvi	3.9908	0.0	
0.5	-1.63855421543	s_xvi	3.9908	0.0	
0.5	-1.59839355946	s_xvi	3.9908	0.0	
0.5	-1.55823290348	s_xvi	3.9908	0.0	
0.5	-1.51807224751	s_xvi	3.9908	0.0	
0.5	-1.47791159153	s_xvi	3.9908	0.0	
0.5	-1.43775105476	s_xvi	3.9908	0.0	
0.5	-1.39759039879	s_xvi	3.9908	0.0	
0.5	-1.35742974281	s_xvi	3.9908	0.0	
0.5	-1.31726908684	s_xvi	3.9908	0.0	
0.5	-1.27710843086	s_xvi	3.9908	0.0	
0.5	-1.23694777489	s_xvi	3.9908	0.0	
0.5	-1.19678711891	s_xvi	3.9908	0.0	
0.5	-1.15662646294	s_xvi	3.9908	0.0	
0.5	-1.11646580696	s_xvi	3.9908	0.0	
0.5	-1.0763052702	s_xvi	3.9908	0.0	
0.5	-1.03614461422	s_xvi	3.9908	0.0	
0.5	-0.995983958244	s_xvi	3.9908	0.0	
0.5	-0.955823302269	s_xvi	3.9908	0.0	
0.5	-0.915662646294	s_xvi	3.9908	0.0	
0.5	-0.875501990318	s_xvi	3.9908	0.0	
0.5	-0.835341393948	s_xvi	3.9908	0.0	
0.5	-0.795180737972	s_xvi	3.9908	0.0	
0.5	-0.755020081997	s_xvi	3.9908	0.0	
0.5	-0.714859426022	s_xvi	3.9908	0.0	
0.5	-0.674698770046	s_xvi	3.9908	0.0	
0.5	-0.634538173676	s_xvi	3.9908	0.0	
0.5	-0.5943775177	s_xvi	3.9908	0.0	
