temperature	xi	si_iii	wavelength	opacity
0.5	-2.0	si_iii	1206.5	1.95034e-10	
0.5	-1.95983934402	si_iii	1206.5	2.32655e-10	
0.5	-1.91967868805	si_iii	1206.5	2.77395e-10	
0.5	-1.87951803207	si_iii	1206.5	3.30512e-10	
0.5	-1.8393573761	si_iii	1206.5	3.93439e-10	
0.5	-1.79919683933	si_iii	1206.5	4.67793e-10	
0.5	-1.75903618336	si_iii	1206.5	5.55364e-10	
0.5	-1.71887552738	si_iii	1206.5	6.58086e-10	
0.5	-1.67871487141	si_iii	1206.5	7.77986e-10	
0.5	-1.63855421543	si_iii	1206.5	9.17081e-10	
0.5	-1.59839355946	si_iii	1206.5	1.07723e-09	
0.5	-1.55823290348	si_iii	1206.5	1.25992e-09	
0.5	-1.51807224751	si_iii	1206.5	1.46594e-09	
0.5	-1.47791159153	si_iii	1206.5	1.69504e-09	
0.5	-1.43775105476	si_iii	1206.5	1.94542e-09	
0.5	-1.39759039879	si_iii	1206.5	2.21328e-09	
0.5	-1.35742974281	si_iii	1206.5	2.49239e-09	
0.5	-1.31726908684	si_iii	1206.5	2.77384e-09	
0.5	-1.27710843086	si_iii	1206.5	3.04611e-09	
0.5	-1.23694777489	si_iii	1206.5	3.29564e-09	
0.5	-1.19678711891	si_iii	1206.5	3.50785e-09	
0.5	-1.15662646294	si_iii	1206.5	3.66871e-09	
0.5	-1.11646580696	si_iii	1206.5	3.76645e-09	
0.5	-1.0763052702	si_iii	1206.5	3.79316e-09	
0.5	-1.03614461422	si_iii	1206.5	3.74591e-09	
0.5	-0.995983958244	si_iii	1206.5	3.62708e-09	
0.5	-0.955823302269	si_iii	1206.5	3.44402e-09	
0.5	-0.915662646294	si_iii	1206.5	3.20796e-09	
0.5	-0.875501990318	si_iii	1206.5	2.93262e-09	
0.5	-0.835341393948	si_iii	1206.5	2.63273e-09	
0.5	-0.795180737972	si_iii	1206.5	2.32264e-09	
0.5	-0.755020081997	si_iii	1206.5	2.0152e-09	
0.5	-0.714859426022	si_iii	1206.5	1.72104e-09	
0.5	-0.674698770046	si_iii	1206.5	1.44812e-09	
0.5	-0.634538173676	si_iii	1206.5	1.20172e-09	
0.5	-0.5943775177	si_iii	1206.5	9.84563e-10	
0.5	-0.554216861725	si_iii	1206.5	7.97257e-10	
0.5	-0.51405620575	si_iii	1206.5	6.38759e-10	
0.5	-0.473895579576	si_iii	1206.5	5.06892e-10	
0.5	-0.433734953403	si_iii	1206.5	3.98807e-10	
0.5	-0.393574297428	si_iii	1206.5	3.11368e-10	
0.5	-0.353413641453	si_iii	1206.5	2.41436e-10	
0.5	-0.31325301528	si_iii	1206.5	1.86061e-10	
0.5	-0.273092359304	si_iii	1206.5	1.42593e-10	
0.5	-0.232931733131	si_iii	1206.5	1.08731e-10	
0.5	-0.192771077156	si_iii	1206.5	8.25272e-11	
0.5	-0.152610436082	si_iii	1206.5	6.23698e-11	
0.5	-0.112449802458	si_iii	1206.5	4.69456e-11	
0.5	-0.0722891539335	si_iii	1206.5	3.51996e-11	
0.5	-0.0321285128593	si_iii	1206.5	2.62944e-11	
0.5	0.00803212821484	si_iii	1206.5	1.95707e-11	
0.5	0.048192769289	si_iii	1206.5	1.4514e-11	
0.5	0.0883534103632	si_iii	1206.5	1.07254e-11	
0.5	0.128514051437	si_iii	1206.5	7.89749e-12	
0.5	0.168674692512	si_iii	1206.5	5.79427e-12	
0.5	0.208835348487	si_iii	1206.5	4.23575e-12	
0.5	0.248995989561	si_iii	1206.5	3.08508e-12	
0.5	0.289156615734	si_iii	1206.5	2.23866e-12	
0.5	0.329317271709	si_iii	1206.5	1.61837e-12	
0.5	0.369477897882	si_iii	1206.5	1.1655e-12	
0.5	0.409638553858	si_iii	1206.5	8.3614e-13	
0.5	0.449799209833	si_iii	1206.5	5.97527e-13	
0.5	0.489959836006	si_iii	1206.5	4.25338e-13	
0.5	0.530120491982	si_iii	1206.5	3.01575e-13	
0.5	0.570281147957	si_iii	1206.5	2.12977e-13	
0.5	0.610441744328	si_iii	1206.5	1.49808e-13	
0.5	0.650602400303	si_iii	1206.5	1.04953e-13	
0.5	0.690763056278	si_iii	1206.5	7.3233e-14	
0.5	0.730923712254	si_iii	1206.5	5.08941e-14	
0.5	0.771084308624	si_iii	1206.5	3.52268e-14	
0.5	0.8112449646	si_iii	1206.5	2.4284e-14	
0.5	0.851405620575	si_iii	1206.5	1.66728e-14	
0.5	0.89156627655	si_iii	1206.5	1.14009e-14	
0.5	0.931726932526	si_iii	1206.5	7.76439e-15	
0.5	0.971887528896	si_iii	1206.5	5.26644e-15	
0.5	1.01204824448	si_iii	1206.5	3.55769e-15	
0.5	1.05220878124	si_iii	1206.5	2.39366e-15	
0.5	1.09236943722	si_iii	1206.5	1.60398e-15	
0.5	1.13253009319	si_iii	1206.5	1.07049e-15	
0.5	1.17269074917	si_iii	1206.5	7.11562e-16	
0.5	1.21285140514	si_iii	1206.5	4.71075e-16	
0.5	1.25301206112	si_iii	1206.5	3.1061e-16	
0.5	1.29317271709	si_iii	1206.5	2.0398e-16	
0.5	1.33333337307	si_iii	1206.5	1.33416e-16	
0.5	1.37349402905	si_iii	1206.5	8.69099e-17	
0.5	1.41365456581	si_iii	1206.5	5.63857e-17	
0.5	1.45381522179	si_iii	1206.5	3.64331e-17	
0.5	1.49397587776	si_iii	1206.5	2.34445e-17	
0.5	1.53413653374	si_iii	1206.5	1.50239e-17	
0.5	1.57429718971	si_iii	1206.5	9.58747e-18	
0.5	1.61445784569	si_iii	1206.5	6.0922e-18	
0.5	1.65461850166	si_iii	1206.5	3.85438e-18	
0.5	1.69477915764	si_iii	1206.5	2.42779e-18	
0.5	1.73493981361	si_iii	1206.5	1.52221e-18	
0.5	1.77510035038	si_iii	1206.5	0.0	
0.5	1.81526100636	si_iii	1206.5	0.0	
0.5	1.85542166233	si_iii	1206.5	0.0	
0.5	1.89558231831	si_iii	1206.5	0.0	
0.5	1.93574297428	si_iii	1206.5	0.0	
0.5	1.97590363026	si_iii	1206.5	0.0	
0.5	2.01606416702	si_iii	1206.5	0.0	
