# Athena++ data at time=4.000000e+10  cycle=3005031  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.07548e+18  2.40946e-18  1.00596e-05 -4.52334e+05  1.49172e-09  0.00000e+00
0003  1.09287e+18  1.46829e-18  7.15867e-06 -3.80293e+04  2.71745e-03  0.00000e+00
0004  1.11027e+18  1.22279e-18  6.34887e-06  5.41662e+04  3.88031e-03  0.00000e+00
0005  1.12766e+18  1.05426e-18  5.77667e-06  1.78308e+05  4.52951e-03  0.00000e+00
0006  1.14505e+18  9.23976e-19  5.33785e-06  3.21280e+05  4.75122e-03  0.00000e+00
0007  1.16244e+18  8.27645e-19  4.95827e-06  4.76273e+05  4.78162e-03  0.00000e+00
0008  1.17983e+18  7.63719e-19  4.69227e-06  6.44877e+05  4.75978e-03  0.00000e+00
0009  1.19723e+18  7.27229e-19  4.51366e-06  8.48873e+05  4.68684e-03  0.00000e+00
0010  1.21462e+18  7.13206e-19  4.40517e-06  1.09504e+06  4.57528e-03  0.00000e+00
0011  1.23201e+18  7.12984e-19  4.34123e-06  1.36864e+06  4.45024e-03  0.00000e+00
0012  1.24940e+18  7.19152e-19  4.30041e-06  1.65350e+06  4.32599e-03  0.00000e+00
0013  1.26679e+18  7.29855e-19  4.29036e-06  1.94171e+06  4.20846e-03  0.00000e+00
0014  1.28419e+18  7.40938e-19  4.26202e-06  2.22612e+06  4.10082e-03  0.00000e+00
0015  1.30158e+18  7.50360e-19  4.22674e-06  2.50200e+06  4.00374e-03  0.00000e+00
0016  1.31897e+18  7.57362e-19  4.18636e-06  2.76833e+06  3.91637e-03  0.00000e+00
0017  1.33636e+18  7.61486e-19  4.14313e-06  3.02514e+06  3.83694e-03  0.00000e+00
0018  1.35375e+18  7.62756e-19  4.09580e-06  3.27187e+06  3.76359e-03  0.00000e+00
0019  1.37115e+18  7.62535e-19  4.04742e-06  3.50992e+06  3.69487e-03  0.00000e+00
0020  1.38854e+18  7.61065e-19  3.99814e-06  3.74157e+06  3.63001e-03  0.00000e+00
0021  1.40593e+18  7.58217e-19  3.94661e-06  3.96671e+06  3.56844e-03  0.00000e+00
0022  1.42332e+18  7.54379e-19  3.89359e-06  4.18504e+06  3.50965e-03  0.00000e+00
0023  1.44071e+18  7.49869e-19  3.84063e-06  4.39727e+06  3.45322e-03  0.00000e+00
0024  1.45811e+18  7.44926e-19  3.78822e-06  4.60416e+06  3.39890e-03  0.00000e+00
0025  1.47550e+18  7.39709e-19  3.73555e-06  4.80614e+06  3.34654e-03  0.00000e+00
0026  1.49289e+18  7.34287e-19  3.68246e-06  5.00333e+06  3.29611e-03  0.00000e+00
0027  1.51028e+18  7.28674e-19  3.63042e-06  5.19604e+06  3.24754e-03  0.00000e+00
0028  1.52767e+18  7.22858e-19  3.57930e-06  5.38432e+06  3.20073e-03  0.00000e+00
0029  1.54507e+18  7.16822e-19  3.52892e-06  5.56819e+06  3.15558e-03  0.00000e+00
0030  1.56246e+18  7.10571e-19  3.47920e-06  5.74771e+06  3.11197e-03  0.00000e+00
0031  1.57985e+18  7.04127e-19  3.43011e-06  5.92300e+06  3.06980e-03  0.00000e+00
0032  1.59724e+18  6.97523e-19  3.38167e-06  6.09419e+06  3.02897e-03  0.00000e+00
0033  1.61463e+18  6.90792e-19  3.33298e-06  6.26137e+06  2.98941e-03  0.00000e+00
0034  1.63203e+18  6.83958e-19  3.28458e-06  6.42462e+06  2.95107e-03  0.00000e+00
0035  1.64942e+18  6.77048e-19  3.23705e-06  6.58420e+06  2.91389e-03  0.00000e+00
0036  1.66681e+18  6.70081e-19  3.19038e-06  6.74020e+06  2.87781e-03  0.00000e+00
0037  1.68420e+18  6.63070e-19  3.14454e-06  6.89271e+06  2.84276e-03  0.00000e+00
0038  1.70160e+18  6.56027e-19  3.09951e-06  7.04183e+06  2.80869e-03  0.00000e+00
0039  1.71899e+18  6.48964e-19  3.05526e-06  7.18764e+06  2.77556e-03  0.00000e+00
0040  1.73638e+18  6.41890e-19  3.01178e-06  7.33025e+06  2.74331e-03  0.00000e+00
0041  1.75377e+18  6.34817e-19  2.96905e-06  7.46973e+06  2.71191e-03  0.00000e+00
0042  1.77116e+18  6.27752e-19  2.92706e-06  7.60616e+06  2.68131e-03  0.00000e+00
0043  1.78856e+18  6.20704e-19  2.88579e-06  7.73964e+06  2.65148e-03  0.00000e+00
0044  1.80595e+18  6.13680e-19  2.84523e-06  7.87024e+06  2.62239e-03  0.00000e+00
0045  1.82334e+18  6.06685e-19  2.80536e-06  7.99804e+06  2.59401e-03  0.00000e+00
0046  1.84073e+18  5.99727e-19  2.76618e-06  8.12311e+06  2.56629e-03  0.00000e+00
0047  1.85813e+18  5.92809e-19  2.72767e-06  8.24552e+06  2.53923e-03  0.00000e+00
0050  1.87552e+18  5.85937e-19  2.68982e-06  8.36534e+06  2.51279e-03  0.00000e+00
0051  1.89291e+18  5.79114e-19  2.65261e-06  8.48265e+06  2.48694e-03  0.00000e+00
0052  1.91030e+18  5.72345e-19  2.61604e-06  8.59750e+06  2.46167e-03  0.00000e+00
0053  1.92769e+18  5.65631e-19  2.58010e-06  8.70996e+06  2.43695e-03  0.00000e+00
0054  1.94509e+18  5.58977e-19  2.54477e-06  8.82009e+06  2.41277e-03  0.00000e+00
0055  1.96248e+18  5.52384e-19  2.51004e-06  8.92795e+06  2.38910e-03  0.00000e+00
0056  1.97987e+18  5.45855e-19  2.47591e-06  9.03361e+06  2.36592e-03  0.00000e+00
