# Athena++ data at time=6.090000e+12  cycle=457517149  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002  1.07548e+18  2.40946e-18  1.00596e-05 -4.92638e+05  1.38461e-09  0.00000e+00
0003  1.09287e+18  1.08535e-18  6.05023e-06  1.38692e+05  1.94626e-02  0.00000e+00
0004  1.11027e+18  6.83649e-19  4.76070e-06  1.40519e+05  4.26014e-02  0.00000e+00
0005  1.12766e+18  4.42731e-19  3.97205e-06  1.92318e+05  6.33720e-02  0.00000e+00
0006  1.14505e+18  2.80770e-19  3.50534e-06  2.85489e+05  8.15787e-02  0.00000e+00
0007  1.16244e+18  1.86405e-19  3.21244e-06  4.05282e+05  9.79855e-02  0.00000e+00
0008  1.17983e+18  1.61110e-19  2.98543e-06  4.62945e+05  1.13017e-01  0.00000e+00
0009  1.19723e+18  1.44562e-19  2.81030e-06  4.90875e+05  1.27018e-01  0.00000e+00
0010  1.21462e+18  1.30905e-19  2.65233e-06  5.26010e+05  1.40140e-01  0.00000e+00
0011  1.23201e+18  1.21798e-19  2.51056e-06  5.50839e+05  1.52482e-01  0.00000e+00
0012  1.24940e+18  1.13848e-19  2.38478e-06  5.71237e+05  1.64141e-01  0.00000e+00
0013  1.26679e+18  1.06586e-19  2.26909e-06  5.93694e+05  1.75182e-01  0.00000e+00
0014  1.28419e+18  1.00043e-19  2.16371e-06  6.15468e+05  1.85660e-01  0.00000e+00
0015  1.30158e+18  9.42106e-20  2.06723e-06  6.36303e+05  1.95624e-01  0.00000e+00
0016  1.31897e+18  8.90881e-20  1.97853e-06  6.55445e+05  2.05114e-01  0.00000e+00
0017  1.33636e+18  8.44112e-20  1.89695e-06  6.73726e+05  2.14169e-01  0.00000e+00
0018  1.35375e+18  8.01086e-20  1.82145e-06  6.91800e+05  2.22817e-01  0.00000e+00
0019  1.37115e+18  7.61641e-20  1.75170e-06  7.09239e+05  2.31088e-01  0.00000e+00
0020  1.38854e+18  7.29832e-20  1.68616e-06  7.22849e+05  2.39003e-01  0.00000e+00
0021  1.40593e+18  6.96711e-20  1.62631e-06  7.37154e+05  2.46591e-01  0.00000e+00
0022  1.42332e+18  6.64391e-20  1.56960e-06  7.54795e+05  2.53870e-01  0.00000e+00
0023  1.44071e+18  6.38049e-20  1.51641e-06  7.68252e+05  2.60858e-01  0.00000e+00
0024  1.45811e+18  6.12532e-20  1.46746e-06  7.80429e+05  2.67579e-01  0.00000e+00
0025  1.47550e+18  5.88227e-20  1.42099e-06  7.94060e+05  2.74050e-01  0.00000e+00
0026  1.49289e+18  5.65665e-20  1.37757e-06  8.06619e+05  2.80292e-01  0.00000e+00
0027  1.51028e+18  5.44732e-20  1.33696e-06  8.17779e+05  2.86308e-01  0.00000e+00
0028  1.52767e+18  5.26010e-20  1.29967e-06  8.25793e+05  2.92180e-01  0.00000e+00
0029  1.54507e+18  5.10716e-20  1.26673e-06  7.95852e+05  2.97687e-01  0.00000e+00
0030  1.56246e+18  1.75388e-20  1.30832e-06  2.04574e+06  3.03934e-01  0.00000e+00
0031  1.57985e+18  8.17704e-21  1.03618e-06  5.38993e+06  3.08538e-01  0.00000e+00
0032  1.59724e+18  6.06869e-21  9.81336e-07  6.75319e+06  3.12536e-01  0.00000e+00
0033  1.61463e+18  5.03694e-21  9.36777e-07  7.83824e+06  3.16198e-01  0.00000e+00
0034  1.63203e+18  4.35268e-21  8.96233e-07  8.83086e+06  3.19605e-01  0.00000e+00
0035  1.64942e+18  3.83972e-21  8.57887e-07  9.78214e+06  3.22786e-01  0.00000e+00
0036  1.66681e+18  3.43419e-21  8.21820e-07  1.06997e+07  3.25757e-01  0.00000e+00
0037  1.68420e+18  3.10417e-21  7.87699e-07  1.15878e+07  3.28531e-01  0.00000e+00
0038  1.70160e+18  2.83113e-21  7.55643e-07  1.24421e+07  3.31120e-01  0.00000e+00
0039  1.71899e+18  2.60260e-21  7.25611e-07  1.32593e+07  3.33536e-01  0.00000e+00
0040  1.73638e+18  2.40823e-21  6.97605e-07  1.40403e+07  3.35793e-01  0.00000e+00
0041  1.75377e+18  2.23988e-21  6.71129e-07  1.47950e+07  3.37900e-01  0.00000e+00
0042  1.77116e+18  2.09271e-21  6.46076e-07  1.55241e+07  3.39867e-01  0.00000e+00
0043  1.78856e+18  1.96326e-21  6.22451e-07  1.62260e+07  3.41703e-01  0.00000e+00
0044  1.80595e+18  1.84842e-21  6.00174e-07  1.69021e+07  3.43415e-01  0.00000e+00
0045  1.82334e+18  1.74572e-21  5.79069e-07  1.75555e+07  3.45012e-01  0.00000e+00
0046  1.84073e+18  1.65349e-21  5.59135e-07  1.81850e+07  3.46500e-01  0.00000e+00
0047  1.85813e+18  1.57030e-21  5.40325e-07  1.87907e+07  3.47887e-01  0.00000e+00
0050  1.87552e+18  1.49498e-21  5.22589e-07  1.93725e+07  3.49179e-01  0.00000e+00
0051  1.89291e+18  1.42631e-21  5.05839e-07  1.99330e+07  3.50384e-01  0.00000e+00
0052  1.91030e+18  1.36308e-21  4.89835e-07  2.04789e+07  3.51506e-01  0.00000e+00
0053  1.92769e+18  1.30457e-21  4.74485e-07  2.10125e+07  3.52549e-01  0.00000e+00
0054  1.94509e+18  1.25034e-21  4.59783e-07  2.15332e+07  3.53517e-01  0.00000e+00
0055  1.96248e+18  1.19995e-21  4.45706e-07  2.20411e+07  3.54413e-01  0.00000e+00
0056  1.97987e+18  1.15306e-21  4.32240e-07  2.25359e+07  3.55242e-01  0.00000e+00
0057  1.99726e+18  1.10936e-21  4.19372e-07  2.30173e+07  3.56006e-01  0.00000e+00
0058  2.01466e+18  1.06857e-21  4.07092e-07  2.34848e+07  3.56709e-01  0.00000e+00
0059  2.03205e+18  1.03038e-21  3.95354e-07  2.39398e+07  3.57354e-01  0.00000e+00
0060  2.04944e+18  9.94434e-22  3.84050e-07  2.43858e+07  3.57945e-01  0.00000e+00
0061  2.06683e+18  9.60569e-22  3.73178e-07  2.48222e+07  3.58483e-01  0.00000e+00
0062  2.08423e+18  9.28613e-22  3.62716e-07  2.52495e+07  3.58971e-01  0.00000e+00
0063  2.10162e+18  8.98416e-22  3.52648e-07  2.56678e+07  3.59412e-01  0.00000e+00
0064  2.11901e+18  8.69842e-22  3.42954e-07  2.60775e+07  3.59806e-01  0.00000e+00
0065  2.13640e+18  8.42769e-22  3.33619e-07  2.64786e+07  3.60157e-01  0.00000e+00
0066  2.15379e+18  8.17084e-22  3.24627e-07  2.68715e+07  3.60466e-01  0.00000e+00
0067  2.17119e+18  7.92689e-22  3.15962e-07  2.72564e+07  3.60735e-01  0.00000e+00
0068  2.18858e+18  7.69491e-22  3.07610e-07  2.76335e+07  3.60966e-01  0.00000e+00
0069  2.20597e+18  7.47407e-22  2.99556e-07  2.80031e+07  3.61160e-01  0.00000e+00
0070  2.22336e+18  7.26368e-22  2.91793e-07  2.83651e+07  3.61319e-01  0.00000e+00
0071  2.24076e+18  7.06397e-22  2.84386e-07  2.87159e+07  3.61445e-01  0.00000e+00
0072  2.25815e+18  6.87397e-22  2.77301e-07  2.90567e+07  3.61542e-01  0.00000e+00
0073  2.27554e+18  6.69276e-22  2.70500e-07  2.93889e+07  3.61606e-01  0.00000e+00
0074  2.29293e+18  6.51956e-22  2.63955e-07  2.97136e+07  3.61653e-01  0.00000e+00
0075  2.31033e+18  6.35377e-22  2.57643e-07  3.00315e+07  3.61661e-01  0.00000e+00
0076  2.32772e+18  6.19485e-22  2.51547e-07  3.03433e+07  3.61647e-01  0.00000e+00
0077  2.34511e+18  6.04236e-22  2.45654e-07  3.06493e+07  3.61613e-01  0.00000e+00
0078  2.36250e+18  5.89590e-22  2.39953e-07  3.09499e+07  3.61557e-01  0.00000e+00
0079  2.37989e+18  5.75512e-22  2.34434e-07  3.12452e+07  3.61479e-01  0.00000e+00
0080  2.39729e+18  5.61969e-22  2.29088e-07  3.15355e+07  3.61380e-01  0.00000e+00
0081  2.41468e+18  5.48933e-22  2.23908e-07  3.18210e+07  3.61262e-01  0.00000e+00
0082  2.43207e+18  5.36375e-22  2.18887e-07  3.21018e+07  3.61124e-01  0.00000e+00
0083  2.44946e+18  5.24273e-22  2.14017e-07  3.23781e+07  3.60969e-01  0.00000e+00
0084  2.46686e+18  5.12601e-22  2.09294e-07  3.26500e+07  3.60796e-01  0.00000e+00
0085  2.48425e+18  5.01339e-22  2.04711e-07  3.29176e+07  3.60607e-01  0.00000e+00
0086  2.50164e+18  4.90466e-22  2.00263e-07  3.31811e+07  3.60401e-01  0.00000e+00
0087  2.51903e+18  4.79965e-22  1.95945e-07  3.34405e+07  3.60180e-01  0.00000e+00
0088  2.53643e+18  4.69816e-22  1.91751e-07  3.36959e+07  3.59945e-01  0.00000e+00
0089  2.55382e+18  4.60005e-22  1.87680e-07  3.39474e+07  3.59695e-01  0.00000e+00
0090  2.57121e+18  4.50517e-22  1.83727e-07  3.41949e+07  3.59432e-01  0.00000e+00
0091  2.58860e+18  4.41339e-22  1.79890e-07  3.44385e+07  3.59156e-01  0.00000e+00
0092  2.60600e+18  4.32456e-22  1.76163e-07  3.46784e+07  3.58868e-01  0.00000e+00
0093  2.62339e+18  4.23854e-22  1.72542e-07  3.49145e+07  3.58567e-01  0.00000e+00
0094  2.64078e+18  4.15521e-22  1.69023e-07  3.51471e+07  3.58256e-01  0.00000e+00
0095  2.65817e+18  4.07444e-22  1.65602e-07  3.53763e+07  3.57933e-01  0.00000e+00
0096  2.67557e+18  3.99613e-22  1.62276e-07  3.56021e+07  3.57601e-01  0.00000e+00
0097  2.69296e+18  3.92017e-22  1.59041e-07  3.58247e+07  3.57258e-01  0.00000e+00
0098  2.71035e+18  3.84647e-22  1.55893e-07  3.60440e+07  3.56906e-01  0.00000e+00
0099  2.72774e+18  3.77492e-22  1.52829e-07  3.62603e+07  3.56544e-01  0.00000e+00
0100  2.74513e+18  3.70545e-22  1.49848e-07  3.64735e+07  3.56174e-01  0.00000e+00
0101  2.76253e+18  3.63797e-22  1.46945e-07  3.66837e+07  3.55796e-01  0.00000e+00
0102  2.77992e+18  3.57239e-22  1.44118e-07  3.68911e+07  3.55409e-01  0.00000e+00
0103  2.79731e+18  3.50865e-22  1.41365e-07  3.70956e+07  3.55015e-01  0.00000e+00
0104  2.81470e+18  3.44667e-22  1.38682e-07  3.72974e+07  3.54613e-01  0.00000e+00
0105  2.83210e+18  3.38639e-22  1.36069e-07  3.74965e+07  3.54205e-01  0.00000e+00
