# Athena++ data at time=6.210000e+12  cycle=517210469  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
1 1.01162e+18 2.68461e-18 1.12659e-05 -35691.1 1.33464e-09 0 
2 1.01366e+18 2.43479e-18 1.05431e-05 45483.9 0.00380724 0 
3 1.01569e+18 2.29595e-18 1.0094e-05 41441 0.0090724 0 
4 1.01773e+18 2.16473e-18 9.67411e-06 43368.2 0.0145553 0 
5 1.01977e+18 2.042e-18 9.28427e-06 45580.3 0.0199272 0 
6 1.02181e+18 1.92695e-18 8.9181e-06 48086.5 0.0251057 0 
7 1.02384e+18 1.81646e-18 8.57438e-06 50788.5 0.030079 0 
8 1.02588e+18 1.70963e-18 8.25193e-06 53765.5 0.0348643 0 
9 1.02792e+18 1.61144e-18 7.9492e-06 56836.2 0.0394823 0 
10 1.02996e+18 1.5177e-18 7.66536e-06 60103.5 0.0439458 0 
11 1.03199e+18 1.4323e-18 7.39849e-06 63469.5 0.0482586 0 
12 1.03403e+18 1.35143e-18 7.14784e-06 66989.9 0.052422 0 
13 1.03607e+18 1.2738e-18 6.91225e-06 70801 0.0564394 0 
14 1.03811e+18 1.19757e-18 6.69142e-06 75010.4 0.0603178 0 
15 1.04014e+18 1.12521e-18 6.48454e-06 79537.4 0.0640661 0 
16 1.04218e+18 1.06087e-18 6.29072e-06 84088.8 0.0676944 0 
17 1.04422e+18 1.0133e-18 6.10659e-06 87801.1 0.0712099 0 
18 1.04626e+18 9.60139e-19 5.93383e-06 92046.2 0.0746209 0 
19 1.04829e+18 9.10723e-19 5.7691e-06 96871.1 0.077933 0 
20 1.05033e+18 8.64782e-19 5.61396e-06 101598 0.0811519 0 
21 1.05237e+18 8.19424e-19 5.46731e-06 106776 0.0842825 0 
22 1.05441e+18 7.74066e-19 5.32922e-06 112579 0.0873295 0 
23 1.05644e+18 7.36801e-19 5.19795e-06 118030 0.0902969 0 
24 1.05848e+18 7.0163e-19 5.0743e-06 123344 0.0931889 0 
25 1.06052e+18 6.6675e-19 4.9568e-06 129304 0.0960088 0 
26 1.06256e+18 6.33156e-19 4.84551e-06 135685 0.0987602 0 
27 1.06459e+18 6.02386e-19 4.73989e-06 142164 0.101446 0 
28 1.06663e+18 5.71808e-19 4.64019e-06 149134 0.10407 0 
29 1.06867e+18 5.40173e-19 4.54605e-06 157221 0.106635 0 
30 1.07071e+18 5.09671e-19 4.45729e-06 166028 0.109143 0 
31 1.07274e+18 4.84552e-19 4.37311e-06 174198 0.111599 0 
32 1.07478e+18 4.63498e-19 4.2934e-06 181461 0.114005 0 
33 1.07682e+18 4.42065e-19 4.21792e-06 189391 0.116364 0 
