# Athena++ data at time=1.430000e+12  cycle=119116573  variables=uov 
# i       x1v         user_out_var0          user_out_var1          user_out_var2          user_out_var3          user_out_var4          user_out_var5      
1 1.01162e+18 4.98827 30503.7 9.33013e-16 0 0 3.83719e-05 
2 1.01366e+18 5.45758 31443.9 4.73999e-17 0 0 3.82178e-05 
3 1.01569e+18 5.75183 31902.8 9.84126e-18 0 0 3.80646e-05 
4 1.01773e+18 6.05723 32394.2 1.05837e-17 0 0 3.79124e-05 
5 1.01977e+18 6.37931 32929.4 8.26969e-18 0 0 3.7761e-05 
6 1.02181e+18 6.71394 33476.4 4.41004e-18 0 0 3.76106e-05 
7 1.02384e+18 7.07454 34094.1 1.92688e-18 0 0 3.7461e-05 
8 1.02588e+18 7.46668 34802.7 1.52326e-18 0 0 3.73124e-05 
9 1.02792e+18 7.8831 35560.5 2.96846e-18 0 0 3.71646e-05 
10 1.02996e+18 8.32448 36361.2 2.13803e-18 0 0 3.70177e-05 
11 1.03199e+18 8.79056 37204.2 2.81114e-18 0 0 3.68717e-05 
12 1.03403e+18 9.27974 38079.7 1.22277e-18 0 0 3.67265e-05 
13 1.03607e+18 9.80157 39027.8 -4.02161e-19 0 0 3.65822e-05 
14 1.03811e+18 10.3759 40129 8.15036e-20 0 0 3.64387e-05 
15 1.04014e+18 11.021 41446.2 -1.29914e-18 0 0 3.62961e-05 
16 1.04218e+18 11.6357 42604.7 -1.65309e-18 0 0 3.61543e-05 
17 1.04422e+18 12.1551 43376.1 -9.52202e-20 0 0 3.60134e-05 
18 1.04626e+18 12.7655 44438.3 6.21034e-18 0 0 3.58733e-05 
19 1.04829e+18 13.4096 45577.2 1.09332e-17 0 0 3.5734e-05 
20 1.05033e+18 14.0379 46625.3 1.46889e-17 0 0 3.55954e-05 
21 1.05237e+18 14.7187 47809.3 2.18585e-17 0 0 3.54577e-05 
22 1.05441e+18 15.4709 49181.4 2.84706e-17 0 0 3.53208e-05 
23 1.05644e+18 16.2533 50603 2.82484e-17 0 0 3.51847e-05 
24 1.05848e+18 16.9726 51789.7 2.55615e-17 0 0 3.50494e-05 
25 1.06052e+18 17.7409 53098.8 2.69485e-17 0 0 3.49149e-05 
26 1.06256e+18 18.579 54584.1 2.73881e-17 0 0 3.47811e-05 
27 1.06459e+18 19.4346 56087.6 2.50531e-17 0 0 3.46481e-05 
28 1.06663e+18 20.3038 57603.2 2.50953e-17 0 0 3.45158e-05 
29 1.06867e+18 21.268 59361.4 2.83963e-17 0 0 3.43844e-05 
30 1.07071e+18 22.3706 61480.6 3.26349e-17 0 0 3.42536e-05 
31 1.07274e+18 23.51 63672.6 3.16679e-17 0 0 3.41236e-05 
32 1.07478e+18 24.5363 65534.1 2.7232e-17 0 0 3.39944e-05 
33 1.07682e+18 25.4488 67076.8 2.76847e-17 0 0 3.38658e-05 
34 1.07886e+18 26.4487 68836.1 3.49597e-17 0 0 3.3738e-05 
35 1.08089e+18 27.5924 70943.1 4.32081e-17 0 0 3.3611e-05 
36 1.08293e+18 28.8951 73429.7 5.16146e-17 0 0 3.34846e-05 
37 1.08497e+18 30.4087 76414.8 6.19328e-17 0 0 3.3359e-05 
38 1.08701e+18 32.179 80009.7 8.34291e-17 0 0 3.3234e-05 
39 1.08904e+18 34.4706 84860 1.1259e-16 0 0 3.31098e-05 
40 1.09108e+18 37.2023 90698.1 1.08063e-16 0 0 3.29862e-05 
41 1.09312e+18 39.2951 94911.9 9.36005e-17 0 0 3.28634e-05 
42 1.09516e+18 41.7367 100016 1.19417e-16 0 0 3.27412e-05 
43 1.09719e+18 44.7626 106414 1.26865e-16 0 0 3.26197e-05 
44 1.09923e+18 47.8828 113020 1.20741e-16 0 0 3.24989e-05 
45 1.10127e+18 50.6683 118798 9.12165e-17 0 0 3.23788e-05 
46 1.10331e+18 52.6817 122745 5.04101e-17 0 0 3.22593e-05 
47 1.10534e+18 53.5578 124031 2.66559e-17 0 0 3.21405e-05 
48 1.10738e+18 54.3631 125205 3.30566e-17 0 0 3.20223e-05 
49 1.10942e+18 55.2265 126461 3.53672e-17 0 0 3.19048e-05 
50 1.11146e+18 56.0927 127717 3.40597e-17 0 0 3.17879e-05 
51 1.11349e+18 56.9557 128964 3.20237e-17 0 0 3.16717e-05 
52 1.11553e+18 57.8079 130192 2.98552e-17 0 0 3.15561e-05 
53 1.11757e+18 58.6391 131386 2.7889e-17 0 0 3.14412e-05 
54 1.11961e+18 59.3832 132392 2.46684e-17 0 0 3.13268e-05 
55 1.12164e+18 60.0896 133336 2.50669e-17 0 0 3.12131e-05 
56 1.12368e+18 60.7888 134268 2.58666e-17 0 0 3.11e-05 
57 1.12572e+18 61.4857 135193 2.60344e-17 0 0 3.09876e-05 
58 1.12776e+18 62.184 136118 2.58832e-17 0 0 3.08757e-05 
59 1.12979e+18 62.8846 137043 2.57381e-17 0 0 3.07644e-05 
60 1.13183e+18 63.5855 137966 2.5808e-17 0 0 3.06538e-05 
61 1.13387e+18 64.2835 138882 2.60821e-17 0 0 3.05437e-05 
62 1.13591e+18 64.977 139790 2.64004e-17 0 0 3.04342e-05 
63 1.13794e+18 65.667 140690 2.66829e-17 0 0 3.03253e-05 
64 1.13998e+18 66.3565 141588 2.69773e-17 0 0 3.0217e-05 
65 1.14202e+18 67.0467 142484 2.67159e-17 0 0 3.01093e-05 
66 1.14406e+18 67.7169 143332 2.30536e-17 0 0 3.00021e-05 
67 1.14609e+18 68.3095 144025 1.85633e-17 0 0 2.98956e-05 
68 1.14813e+18 68.8842 144695 1.77348e-17 0 0 2.97896e-05 
69 1.15017e+18 69.4669 145372 2.04187e-17 0 0 2.96841e-05 
70 1.15221e+18 70.0839 146087 2.43692e-17 0 0 2.95792e-05 
71 1.15424e+18 70.9154 147237 2.35635e-17 0 0 2.94749e-05 
72 1.15628e+18 71.3718 147606 1.20051e-17 0 0 2.93711e-05 
73 1.15832e+18 71.7605 147917 1.33637e-17 0 0 2.92679e-05 
74 1.16036e+18 72.1723 148248 1.20257e-17 0 0 2.91652e-05 
75 1.16239e+18 72.5995 148592 9.85757e-18 0 0 2.9063e-05 
76 1.16443e+18 73.0286 148938 9.6855e-18 0 0 2.89614e-05 
77 1.16647e+18 73.4473 149275 1.08871e-17 0 0 2.88603e-05 
78 1.16851e+18 73.8524 149603 1.20204e-17 0 0 2.87597e-05 
79 1.17054e+18 74.2486 149923 1.23805e-17 0 0 2.86597e-05 
80 1.17258e+18 74.6412 150242 1.21802e-17 0 0 2.85602e-05 
81 1.17462e+18 75.0318 150559 1.17192e-17 0 0 2.84612e-05 
82 1.17666e+18 75.4206 150876 1.10829e-17 0 0 2.83627e-05 
83 1.17869e+18 75.8077 151191 1.03472e-17 0 0 2.82648e-05 
84 1.18073e+18 76.1944 151507 9.72318e-18 0 0 2.81673e-05 
85 1.18277e+18 76.5833 151825 9.51683e-18 0 0 2.80703e-05 
86 1.18481e+18 76.9792 152150 1.0037e-17 0 0 2.79739e-05 
87 1.18684e+18 77.389 152485 1.15088e-17 0 0 2.78779e-05 
88 1.18888e+18 77.8209 152839 1.39078e-17 0 0 2.77824e-05 
89 1.19092e+18 78.2814 153218 1.67433e-17 0 0 2.76874e-05 
90 1.19296e+18 78.77 153620 1.9071e-17 0 0 2.75929e-05 
91 1.19499e+18 79.2759 154038 1.99152e-17 0 0 2.74989e-05 
92 1.19703e+18 79.7801 154457 1.88685e-17 0 0 2.74054e-05 
93 1.19907e+18 80.2635 154859 1.63484e-17 0 0 2.73123e-05 
94 1.20111e+18 80.7136 155235 1.32218e-17 0 0 2.72198e-05 
95 1.20314e+18 81.128 155582 1.01781e-17 0 0 2.71276e-05 
96 1.20518e+18 81.5095 155902 7.44962e-18 0 0 2.7036e-05 
97 1.20722e+18 81.867 156203 5.16345e-18 0 0 2.69448e-05 
98 1.20926e+18 82.199 156482 3.43985e-18 0 0 2.68541e-05 
99 1.21129e+18 82.5397 156769 1.81058e-18 0 0 2.67638e-05 
100 1.21333e+18 82.8659 157044 1.31579e-18 0 0 2.6674e-05 
101 1.21537e+18 83.2144 157337 1.96618e-18 0 0 2.65847e-05 
102 1.21741e+18 83.59 157654 2.3096e-18 0 0 2.64957e-05 
103 1.21944e+18 83.9926 157995 2.39699e-18 0 0 2.64073e-05 
104 1.22148e+18 84.4201 158357 2.31018e-18 0 0 2.63193e-05 
105 1.22352e+18 84.8674 158737 2.1428e-18 0 0 2.62317e-05 
106 1.22556e+18 85.2976 159076 2.64435e-18 0 0 2.61445e-05 
107 1.22759e+18 85.7136 159386 3.11773e-18 0 0 2.60578e-05 
108 1.22963e+18 86.1316 159698 3.50995e-18 0 0 2.59715e-05 
109 1.23167e+18 86.5424 160006 3.67364e-18 0 0 2.58857e-05 
110 1.23371e+18 86.9442 160309 3.8361e-18 0 0 2.58002e-05 
111 1.23574e+18 87.3379 160606 3.96362e-18 0 0 2.57152e-05 
112 1.23778e+18 87.7272 160901 4.10564e-18 0 0 2.56306e-05 
113 1.23982e+18 88.1177 161198 4.41296e-18 0 0 2.55465e-05 
114 1.24186e+18 88.5163 161502 5.08543e-18 0 0 2.54627e-05 
115 1.24389e+18 88.9303 161818 6.2204e-18 0 0 2.53794e-05 
116 1.24593e+18 89.3654 162152 7.66016e-18 0 0 2.52964e-05 
117 1.24797e+18 89.8225 162504 9.03038e-18 0 0 2.52139e-05 
118 1.25001e+18 90.2966 162870 9.90669e-18 0 0 2.51318e-05 
119 1.25204e+18 90.7775 163244 9.96303e-18 0 0 2.505e-05 
120 1.25408e+18 91.2523 163616 9.06769e-18 0 0 2.49687e-05 
121 1.25612e+18 91.7082 163975 7.35345e-18 0 0 2.48878e-05 
122 1.25816e+18 92.1371 164314 5.23631e-18 0 0 2.48072e-05 
123 1.26019e+18 92.5382 164632 3.19484e-18 0 0 2.47271e-05 
124 1.26223e+18 92.9224 164938 2.22308e-18 0 0 2.46473e-05 
125 1.26427e+18 93.2866 165229 1.52858e-19 0 0 2.45679e-05 
126 1.26631e+18 93.6351 165508 -3.05798e-19 0 0 2.44889e-05 
127 1.26834e+18 93.9931 165794 5.50022e-19 0 0 2.44103e-05 
128 1.27038e+18 94.372 166098 1.36909e-18 0 0 2.43321e-05 
129 1.27242e+18 94.7711 166420 1.6213e-18 0 0 2.42542e-05 
130 1.27446e+18 95.1845 166755 1.33139e-18 0 0 2.41767e-05 
131 1.27649e+18 95.6048 167097 9.90311e-19 0 0 2.40996e-05 
132 1.27853e+18 96.043 167454 9.13e-19 0 0 2.40228e-05 
133 1.28057e+18 96.5037 167832 2.10185e-19 0 0 2.39465e-05 
134 1.28261e+18 96.7986 167935 1.54199e-16 0 0 2.38704e-05 
135 1.28464e+18 97.0324 167935 3.61921e-16 0 0 2.37948e-05 
136 1.28668e+18 97.2689 167936 -1.52978e-16 0 0 2.37195e-05 
137 1.28872e+18 97.6208 168085 -2.93501e-18 0 0 2.36445e-05 
138 1.29076e+18 98.0956 168479 -2.68442e-18 0 0 2.357e-05 
139 1.29279e+18 98.5908 168895 -3.38538e-18 0 0 2.34957e-05 
140 1.29483e+18 99.0987 169328 -4.4011e-18 0 0 2.34218e-05 
141 1.29687e+18 99.6394 169796 -6.10057e-18 0 0 2.33483e-05 
142 1.29891e+18 100.217 170303 -8.70009e-18 0 0 2.32751e-05 
143 1.30094e+18 100.823 170843 -1.15242e-17 0 0 2.32023e-05 
144 1.30298e+18 101.502 171454 -1.12023e-17 0 0 2.31297e-05 
145 1.30502e+18 102.147 172038 -5.33876e-18 0 0 2.30576e-05 
146 1.30706e+18 102.402 171939 -8.64577e-18 0 0 2.29857e-05 
147 1.30909e+18 102.823 172258 -5.37705e-18 0 0 2.29143e-05 
148 1.31113e+18 103.341 172662 -7.01108e-18 0 0 2.28431e-05 
149 1.31317e+18 103.871 173077 -8.15786e-18 0 0 2.27723e-05 
150 1.31521e+18 104.412 173504 -8.41026e-18 0 0 2.27018e-05 
151 1.31724e+18 104.96 173941 -8.52335e-18 0 0 2.26316e-05 
152 1.31928e+18 105.509 174382 -8.15268e-18 0 0 2.25617e-05 
153 1.32132e+18 106.045 174815 -7.10475e-18 0 0 2.24922e-05 
154 1.32336e+18 106.558 175234 -5.72262e-18 0 0 2.2423e-05 
155 1.32539e+18 107.048 175637 -4.5013e-18 0 0 2.23541e-05 
156 1.32743e+18 107.521 176031 -3.69143e-18 0 0 2.22855e-05 
157 1.32947e+18 107.984 176419 -3.19523e-18 0 0 2.22173e-05 
158 1.33151e+18 108.439 176805 -2.61422e-18 0 0 2.21493e-05 
159 1.33354e+18 108.878 177178 -1.30135e-18 0 0 2.20817e-05 
160 1.33558e+18 109.282 177522 7.86308e-19 0 0 2.20144e-05 
161 1.33762e+18 109.647 177838 1.76086e-18 0 0 2.19474e-05 
162 1.33966e+18 109.993 178137 3.26929e-18 0 0 2.18807e-05 
163 1.34169e+18 110.299 178402 5.59645e-18 0 0 2.18143e-05 
164 1.34373e+18 110.55 178619 8.29171e-18 0 0 2.17482e-05 
165 1.34577e+18 110.743 178785 1.09124e-17 0 0 2.16824e-05 
166 1.34781e+18 110.882 178904 1.30991e-17 0 0 2.16168e-05 
